1	Malta	          16.50
2	United States	          16.20
3	Mexico	          13.80
4	Niue	          13.50
5	Lesotho	          13.20
6	Sierra Leone	          13.10
7	Burundi	          13.10
8	Timor-Leste	          12.30
9	Kenya	          12.20
10	Nauru	          12.10
11	Moldova	          11.90
12	Belgium	          11.80
13	Cuba	          11.80
14	Finland	          11.70
15	Switzerland	          11.30
16	Georgia	          11.30
17	Portugal	          11.30
18	Palau	          11.20
19	Congo, Democratic Republic of the	          11.20
20	Austria	          11.00
21	Bosnia and Herzegovina	          10.90
22	Canada	          10.90
23	Netherlands	          10.80
24	Ghana	          10.60
25	Costa Rica	          10.50
26	Botswana	          10.30
27	Gambia, The	          10.10
28	Serbia	           9.90
29	Tuvalu	           9.90
30	Sweden	           9.90
31	Norway	           9.70
32	Fiji	           9.70
33	Iraq	           9.70
34	Spain	           9.70
35	New Zealand	           9.70
36	Israel	           9.50
37	Argentina	           9.50
38	Nicaragua	           9.50
39	United Kingdom	           9.30
40	Mongolia	           9.30
41	Japan	           9.30
42	Slovenia	           9.10
43	Brazil	           9.00
44	Rwanda	           9.00
45	Australia	           8.50
46	Slovakia	           8.50
47	South Africa	           8.50
48	Panama	           8.30
49	Jamaica	           8.30
50	Lebanon	           8.20
51	Uganda	           8.20
52	Chile	           8.20
53	Hungary	           8.20
54	Saint Lucia	           8.10
55	Guinea-Bissau	           8.10
56	Germany	           8.10
57	Latvia	           8.10
58	Malaysia	           8.00
59	Lithuania	           7.80
60	Croatia	           7.80
61	Andorra	           7.70
62	Ireland	           7.60
63	Suriname	           7.60
64	Czech Republic	           7.60
65	Mali	           7.50
66	Afghanistan	           7.40
67	Greece	           7.40
68	Uruguay	           7.40
69	Bulgaria	           7.40
70	Sudan	           7.30
71	Honduras	           7.30
72	Bahamas, The	           7.20
73	Vietnam	           7.20
74	Paraguay	           7.10
75	Poland	           7.10
76	Grenada	           7.10
77	San Marino	           7.10
78	Sao Tome and Principe	           7.10
79	Chad	           7.00
80	Samoa	           7.00
81	Eritrea	           7.00
82	Ukraine	           7.00
83	Denmark	           7.00
84	Macedonia	           6.90
85	Albania	           6.90
86	Barbados	           6.80
87	Kuwait	           6.80
88	Turkey	           6.70
89	Libya	           6.60
90	Korea, South	           6.50
91	Laos	           6.50
92	Mauritius	           6.50
93	Burkina Faso	           6.40
94	Colombia	           6.40
95	Djibouti	           6.40
96	Egypt	           6.40
97	Swaziland	           6.30
98	Tonga	           6.20
99	Tunisia	           6.20
100	Madagascar	           6.20
101	Guyana	           6.10
102	Niger	           6.10
103	Guinea	           6.10
104	Dominican Republic	           6.10
105	Haiti	           6.00
106	Cyprus	           6.00
107	Saint Kitts and Nevis	           6.00
108	Gabon	           6.00
109	Namibia	           5.90
110	Togo	           5.90
111	Dominica	           5.90
112	Belarus	           5.80
113	Algeria	           5.80
114	Cambodia	           5.80
115	Azerbaijan	           5.80
116	Nepal	           5.80
117	Nigeria	           5.80
118	Guatemala	           5.70
119	Mozambique	           5.70
120	Mauritania	           5.70
121	Senegal	           5.70
122	Maldives	           5.60
123	Yemen	           5.60
124	Saint Vincent and the Grenadines	           5.60
125	Cameroon	           5.60
126	Trinidad and Tobago	           5.60
127	Morocco	           5.50
128	Bhutan	           5.50
129	Indonesia	           5.50
130	Russia	           5.40
131	Romania	           5.40
132	Solomon Islands	           5.40
133	Tajikistan	           5.30
134	Uzbekistan	           5.20
135	Italy	           5.10
136	Tanzania	           5.10
137	Cote d'Ivoire	           5.10
138	Antigua and Barbuda	           5.10
139	Ecuador	           5.00
140	Saudi Arabia	           5.00
141	Zambia	           4.80
142	Bolivia	           4.80
143	Malawi	           4.80
144	Armenia	           4.70
145	Monaco	           4.70
146	Angola	           4.60
147	Peru	           4.60
148	China	           4.60
149	Bahrain	           4.50
150	Jordan	           4.50
151	Cook Islands	           4.40
152	Kazakhstan	           4.30
153	Estonia	           4.30
154	Central African Republic	           4.30
155	Thailand	           4.30
156	Iceland	           4.20
157	Benin	           4.20
158	Kyrgyzstan	           4.10
159	Luxembourg	           4.10
160	Seychelles	           4.00
161	Sri Lanka	           4.00
162	Vanuatu	           4.00
163	Micronesia, Federated States of	           3.90
164	Liberia	           3.90
165	Cape Verde	           3.90
166	Iran	           3.90
167	Singapore	           3.90
168	El Salvador	           3.90
169	Philippines	           3.80
170	Ethiopia	           3.60
171	France	           3.50
172	Comoros	           3.40
173	Bangladesh	           3.40
174	Kiribati	           3.30
175	Belize	           3.30
176	Papua New Guinea	           3.10
177	Brunei	           3.00
178	Oman	           3.00
179	Congo, Republic of the	           3.00
180	Syria	           2.90
181	United Arab Emirates	           2.80
182	Pakistan	           2.60
183	Marshall Islands	           2.50
184	Qatar	           2.50
185	India	           2.40
186	Turkmenistan	           2.30
187	Equatorial Guinea	           2.20
188	Burma	           2.00
189	Korea, North	           2.00
